beta,gold,hoard,kl,method,motif,proxy,repeats,rm_agreement,seed,step
0.2,0.783007800579071,0.0263671875,8.29629898071289,PPO,1.1943359375,8.910980224609375,0.6240234375,0.5665914416313171,2,20
0.2,0.47148436307907104,0.0078125,7.555748462677002,PPO,0.83984375,8.656757354736328,0.595703125,0.6489607095718384,2,25
0.2,0.39179685711860657,0.0048828125,6.791663646697998,PPO,0.7431640625,8.666853904724121,0.57421875,0.6274038553237915,2,30
0.2,0.806640625,0.0224609375,6.79694128036499,PPO,1.1240234375,9.00587272644043,0.4765625,0.6152073740959167,2,35
0.2,0.544921875,0.001953125,5.5036420822143555,PPO,0.8359375,8.829014778137207,0.48046875,0.6120092272758484,2,40
0.2,0.5099608898162842,0.0087890625,5.478934288024902,PPO,0.8427734375,8.825772285461426,0.5341796875,0.6169725060462952,2,45
0.2,0.4613281488418579,0.00390625,5.252903938293457,PPO,0.765625,8.875632286071777,0.498046875,0.6184834241867065,2,50
0.2,0.7039062976837158,0.013671875,5.836269378662109,PPO,0.99609375,9.094449996948242,0.455078125,0.5939674973487854,2,55
0.2,0.6644530892372131,0.01171875,5.793825149536133,PPO,0.9638671875,9.117685317993164,0.4716796875,0.5511627793312073,2,60
0.2,0.3658202886581421,0.001953125,5.220096588134766,PPO,0.6328125,9.025339126586914,0.4404296875,0.6009852290153503,2,65
0.2,0.41621094942092896,0.001953125,5.296104431152344,PPO,0.6943359375,9.098840713500977,0.458984375,0.5678392052650452,2,69
0.05,-0.7185547351837158,0.0,0.17952685058116913,PPO,0.126953125,2.0483956336975098,1.4091796875,0.7562814354896545,2,0
0.05,0.11835936456918716,0.0,5.4363813400268555,PPO,0.462890625,7.572983741760254,0.57421875,0.6177884340286255,2,5
0.05,0.6322265267372131,0.0146484375,9.284818649291992,PPO,1.0341796875,8.80859661102295,0.6357421875,0.6004514694213867,2,10
0.05,1.166015625,0.166015625,14.423075675964355,PPO,2.025390625,9.164848327636719,1.044921875,0.5723270177841187,2,15
0.05,1.4072264432907104,0.685546875,19.58310317993164,PPO,3.2353515625,9.494632720947266,1.447265625,0.5405405163764954,2,20
0.05,1.7640624046325684,0.767578125,18.46002197265625,PPO,3.373046875,9.513989448547363,0.890625,0.557986855506897,2,25
0.05,1.8042967319488525,0.3232421875,13.972759246826172,PPO,2.6142578125,9.48361587524414,0.595703125,0.5795454382896423,2,30
0.05,1.7363282442092896,0.2548828125,13.257623672485352,PPO,2.4072265625,9.554916381835938,0.5234375,0.5450549721717834,2,35
0.05,1.3753905296325684,0.0712890625,11.014749526977539,PPO,1.7294921875,9.4957914352417,0.423828125,0.5622222423553467,2,40
0.05,1.091796875,0.041015625,10.714654922485352,PPO,1.4990234375,9.530052185058594,0.5830078125,0.5740318894386292,2,45
0.05,1.07421875,0.03515625,10.05352783203125,PPO,1.478515625,9.51303482055664,0.591796875,0.5348314642906189,2,50
0.05,1.2410156726837158,0.0546875,10.319026947021484,PPO,1.6328125,9.594130516052246,0.525390625,0.555304765701294,2,55
0.05,1.021875023841858,0.03515625,9.420255661010742,PPO,1.3388671875,9.566177368164062,0.4462890625,0.5626423954963684,2,60
0.05,0.9603514671325684,0.033203125,9.683457374572754,PPO,1.3232421875,9.589056015014648,0.52734375,0.5503355860710144,2,65
0.05,1.0003905296325684,0.0244140625,9.623417854309082,PPO,1.287109375,9.613462448120117,0.4208984375,0.571090042591095,2,69
0.01,-0.7185547351837158,0.0,0.1795267015695572,PPO,0.126953125,2.0483956336975098,1.4091796875,0.7562814354896545,2,0
0.01,0.12480467557907104,0.0,5.631225109100342,PPO,0.4716796875,7.641335964202881,0.578125,0.6152018904685974,2,5
0.01,0.8449218273162842,0.0283203125,11.201791763305664,PPO,1.275390625,8.980928421020508,0.6513671875,0.6048564910888672,2,10
0.01,1.4248046875,0.4580078125,18.16025733947754,PPO,2.80078125,9.40207290649414,1.224609375,0.5148305296897888,2,15
0.01,1.054101586341858,1.669921875,26.214366912841797,PPO,4.5439453125,9.588623046875,1.919921875,0.4938271641731262,2,20
0.01,0.8900391459465027,3.1162109375,29.596412658691406,PPO,6.1064453125,9.700979232788086,1.4228515625,0.5523012280464172,2,25
0.01,1.3435547351837158,1.6337890625,26.452787399291992,PPO,4.5361328125,9.727264404296875,1.5087890625,0.5188284516334534,2,30
0.01,1.5550780296325684,1.134765625,23.425941467285156,PPO,3.9541015625,9.744401931762695,1.3505859375,0.5253164768218994,2,35
0.01,1.781835913658142,0.9052734375,22.54498863220215,PPO,3.66796875,9.770536422729492,1.03125,0.5402542352676392,2,40
